Bairro;strPesquisa;Latitude;Longitude
CENTRO;CENTRO,  Cascavel, Paraná;-24.954817;-53.4652976
XIV DE NOVEMBRO;XIV DE NOVEMBRO,  Cascavel, Paraná;-24.9905433;-53.481493335488494
ALTO ALEGRE;ALTO ALEGRE,  Cascavel, Paraná;-24.9610537;-53.4899277
BRASÍLIA;BRASÍLIA,  Cascavel, Paraná;-24.9333298;-53.4238188
BRASMADEIRA;BRASMADEIRA,  Cascavel, Paraná;-24.9247088;-53.4488018
CANADA;CANADA,  Cascavel, Paraná;-24.9330169;-53.4600598
CANCELLI;CANCELLI,  Cascavel, Paraná;-24.9420483;-53.464458
CASCAVEL VELHO;CASCAVEL VELHO,  Cascavel, Paraná;-24.9716516;-53.4181271
CATARATAS;CATARATAS,  Cascavel, Paraná;-24.9544878;-53.4044373
COQUEIRAL;COQUEIRAL,  Cascavel, Paraná;-24.9525208;-53.4874823
COUNTRY;COUNTRY,  Cascavel, Paraná;-24.9380555;-53.4492587
SÃO CRISTOVÃO;SÃO CRISTOVÃO,  Cascavel, Paraná;-24.9394956;-53.4351218
ESMERALDA;ESMERALDA,  Cascavel, Paraná;-24.9729866;-53.5076899
FAG;FAG,  Cascavel, Paraná;-24.9492169;-53.5046079
FLORESTA;FLORESTA,  Cascavel, Paraná;-24.9209976;-53.4213395
GUARUJÁ;GUARUJÁ,  Cascavel, Paraná;-24.9865703;-53.4945098
INTERLAGOS;INTERLAGOS,  Cascavel, Paraná;-24.9151257;-53.4371987
REGIÃO DO LAGO;REGIÃO DO LAGO,  Cascavel, Paraná;-24.95940035;-53.4385669914972
LAGO AZUL;LAGO AZUL,  Cascavel, Paraná;-24.9207033;-53.4000844
MARIA LUIZA;MARIA LUIZA,  Cascavel, Paraná;-24.9725527;-53.4519488
MORUMBI;MORUMBI,  Cascavel, Paraná;-24.9399006;-53.4016622
NEVA;NEVA,  Cascavel, Paraná;-24.9675837;-53.4695668
PACAEMBU;PACAEMBU,  Cascavel, Paraná;-24.9572725;-53.4189106
PERIOLO;PERIOLO,  Cascavel, Paraná;-24.943197;-53.4141755
PIONEIROS;PIONEIROS,  Cascavel, Paraná;-24.9729866;-53.4827093
PQ. SÃO PAULO;PQ. SÃO PAULO,  Cascavel, Paraná;-24.9780928;-53.4651462
PQ. VERDE;PQ. VERDE,  Cascavel, Paraná;-24.9431463;-53.4905271
ST. ONOFRE;SANTA CRUZ,  Cascavel, Paraná;-24.967149;-53.4984792
ST. DUMONT;ST. DUMONT,  Cascavel, Paraná;-24.986747;-53.5119107
SANTA. FELICIDADE;SANTA. FELICIDADE,  Cascavel, Paraná;-24.9965931;-53.461171
ST. CRUZ;ST. ONOFRE,  Cascavel, Paraná;-24.9571529;-53.5018868
TROPICAL;TROPICAL,  Cascavel, Paraná;-24.9397208;-53.4800377
UNIVERSITÁRIO;UNIVERSITÁRIO,  Cascavel, Paraná;-24.9885607;-53.4435642
VENEZA;VENEZA,  Cascavel, Paraná;-24.9746295;-53.4118899
